s0,s10,s90,s90d
21,38,98,117
82,108,56,248
70,125,249,248
98,152,249,248
62,126,249,248
63,97,249,248
83,95,249,248
82,125,81,213
75,50,57,164
125,213,249,248
69,43,75,171
74,47,39,108
73,43,45,120
218,252,249,248
155,210,249,248
126,198,249,184
29,37,117,77
32,44,15,55
114,86,201,18
70,46,24,98
124,252,249,248
73,49,47,156
235,252,249,248
182,251,249,248
124,252,249,248
212,208,219,25
68,44,36,138
124,252,249,248
178,102,249,96
104,158,249,248
15,99,90,53
134,83,169,37
97,77,100,38
43,55,249,248
107,89,168,39
136,55,200,36
94,165,249,248
117,83,226,28
67,74,75,37
119,78,127,38
106,106,105,60
43,129,203,54
19,18,249,248
182,161,162,44
107,87,156,37
136,73,163,59
91,113,26,178
129,66,173,43
95,251,249,248
116,79,173,40
108,63,107,36
107,75,126,77
217,164,239,27
127,75,188,38
